iter	Passed	Remaining
0	166	166293
1	170	84972
2	174	57981
3	178	44552
4	182	36332
5	186	30847
6	190	27065
7	195	24202
8	198	21909
9	202	20059
10	206	18610
11	211	17432
12	215	16382
13	233	16437
14	237	15582
15	243	14978
16	247	14336
17	253	13817
18	259	13396
19	263	12930
20	268	12527
21	274	12184
22	278	11833
23	282	11494
24	287	11226
25	293	10984
26	298	10744
27	303	10544
28	308	10329
29	312	10103
30	316	9900
31	321	9725
32	326	9554
33	330	9400
34	335	9262
35	341	9137
36	345	8999
37	350	8879
38	355	8755
39	359	8626
40	363	8501
41	368	8415
42	372	8299
43	377	8193
44	382	8124
45	387	8032
46	391	7930
47	394	7830
48	399	7762
49	403	7675
50	407	7585
51	412	7513
52	416	7448
53	420	7372
54	424	7291
55	429	7234
56	433	7173
57	437	7098
58	440	7024
59	444	6966
60	449	6918
61	453	6862
62	457	6807
63	462	6766
64	466	6708
65	470	6654
66	474	6606
67	479	6567
68	483	6517
69	487	6470
70	491	6434
71	496	6403
72	500	6359
73	506	6332
74	510	6298
75	514	6255
76	518	6215
77	522	6172
78	526	6141
79	530	6103
80	535	6072
81	539	6036
82	544	6011
83	548	5983
84	554	5964
85	558	5940
86	562	5905
87	566	5870
88	570	5843
89	575	5822
90	580	5795
91	584	5764
92	588	5740
93	593	5716
94	596	5684
95	600	5654
96	605	5632
97	609	5611
98	614	5588
99	618	5562
100	622	5541
101	626	5518
102	630	5491
103	634	5464
104	638	5445
105	642	5419
106	646	5391
107	649	5363
108	654	5348
109	658	5324
110	661	5298
111	664	5272
112	669	5256
113	674	5241
114	676	5209
115	680	5185
116	684	5168
117	689	5151
118	692	5129
119	696	5105
120	700	5090
121	704	5070
122	707	5047
123	711	5025
124	715	5010
125	719	4993
126	723	4971
127	726	4950
128	730	4933
129	734	4918
130	738	4901
131	742	4880
132	746	4864
133	750	4849
134	753	4831
135	757	4811
136	761	4794
137	765	4784
138	769	4768
139	773	4752
140	777	4735
141	781	4723
142	785	4707
143	789	4691
144	792	4675
145	797	4663
146	801	4647
147	805	4634
148	809	4621
149	814	4613
150	818	4599
151	821	4583
152	825	4567
153	829	4554
154	833	4542
155	836	4527
156	840	4511
157	844	4501
158	848	4489
159	852	4474
160	855	4458
161	859	4445
162	864	4436
163	867	4423
164	870	4407
165	874	4393
166	879	4385
167	882	4371
168	886	4356
169	889	4341
170	894	4335
171	898	4323
172	901	4309
173	904	4295
174	909	4286
175	913	4274
176	916	4261
177	920	4248
178	924	4240
179	928	4231
180	933	4223
181	936	4210
182	941	4202
183	945	4191
184	948	4180
185	952	4168
186	957	4161
